Latitude,Longitude,Elevation
118.7010684166,31.9234693619,29.31741467032338
118.7010684166,31.9239214041,29.48324791062132
118.7010684166,31.9243734463,29.661519619241687
118.7010684166,31.9248254885,29.84458932288787
118.7010684166,31.9252775307,30.0
118.7010684166,31.9257295729,30.0
118.7010684166,31.9261816151,30.0
118.7010684166,31.9266336573,30.0
118.7010684166,31.9270856994,30.0
118.7010684166,31.9275377416,30.0
118.7010684166,31.9279897838,30.0
118.7010684166,31.928441826,29.92117461186538
118.7010684166,31.9288938682,29.718589964871665
118.7010684166,31.9293459104,29.502384500223222
118.7010684166,31.9297979526,29.28334805892835
118.7010684166,31.9302499948,29.06999285415886
118.7010684166,31.930702037,28.869685381058147
118.7010684166,31.9311540791,28.689533850169898
118.7010684166,31.9316061213,28.53618880114214
118.7010684166,31.9320581635,28.414402796033052
118.7010684166,31.9325102057,28.324830242127714
118.7010684166,31.9329622479,28.26188201203513
118.7010684166,31.9334142901,28.21271416142265
118.7010684166,31.9338663323,28.15880896672725
118.7010684166,31.9343183745,28.081305619351422
118.7010684166,31.9347704167,27.969486830273095
118.7010684166,31.9352224588,27.828805573747218
118.7010684166,31.935674501,27.68311303035101
118.7010684166,31.9361265432,27.567576960411145
118.7010684166,31.9365785854,27.514212743061275
118.7010684166,31.9370306276,27.537081086043866
118.7010684166,31.9374826698,27.624994081143498
118.7010684166,31.937934712,27.74495226836477
118.7010684166,31.9383867542,27.853206447924837
118.7010684166,31.9388387964,27.90753238363551
118.7010684166,31.9392908385,27.87586650919402
118.7010684166,31.9397428807,27.740406813805695
118.7010684166,31.9401949229,27.49877682969592
118.7010684166,31.9406469651,26.958572400668885
118.7010684166,31.9410990073,26.150535557108828
118.7010684166,31.9415510495,25.110930485519216
118.7010684166,31.9420030917,23.869164908885658
118.7010684166,31.9424551339,22.441871972466387
118.7010684166,31.9429071761,20.833171276315753
118.7010684166,31.9433592182,19.66022840826961
118.7010684166,31.9438112604,18.29147021356745
118.7010684166,31.9442633026,16.108381971811625
118.7010684166,31.9447153448,12.717611365912157
118.7010684166,31.945167387,9.389963634599138
118.7010684166,31.9456194292,7.383991641542524
118.7010684166,31.9460714714,6.696444347384826
118.7010684166,31.9465235136,6.697166635020654
118.7010684166,31.9469755558,7.375180261638587
118.7010684166,31.9474275979,8.71602071122317
118.7010684166,31.9478796401,10.694364874310041
118.7010684166,31.9483316823,12.032933907070168
118.7010684166,31.9487837245,12.69800274111426
118.7010684166,31.9492357667,12.050554633677844
118.7010684166,31.9496878089,10.713764140812161
118.7010684166,31.9501398511,8.699335944929397
118.7010684166,31.9505918933,7.256807420184746
118.7010684166,31.9510439355,6.385743318530326
118.7010684166,31.9514959776,6.089970448233989
118.7010684166,31.9519480198,5.762503949795381
118.7010684166,31.952400062,5.427544373653192
118.7010684166,31.9528521042,5.109045001772824
118.7010684166,31.9533041464,4.824329330726213
118.7010684166,31.9537561886,4.580906576682369
118.7010684166,31.9542082308,4.3771059452026595
118.7010684166,31.954660273,4.204993729898982
118.7010684166,31.9551123152,4.053472941042957
118.7010684166,31.9555643573,3.910024776824592
118.7010684166,31.9560163995,0.0
118.7010684166,31.9564684417,0.0
118.7010684166,31.9569204839,0.0
118.7010684166,31.9573725261,0.0
118.7010684166,31.9578245683,0.0
118.7010684166,31.9582766105,0.0
118.7010684166,31.9587286527,0.0
118.7010684166,31.9591806949,0.0
118.7010684166,31.959632737,0.0
118.7010684166,31.9600847792,0.0
118.7010684166,31.9605368214,0.0
118.7010684166,31.9609888636,0.0
118.7010684166,31.9614409058,0.0
118.7010684166,31.961892948,0.0
118.7010684166,31.9623449902,0.0
118.7010684166,31.9627970324,0.0
118.7010684166,31.9632490746,0.0
118.7010684166,31.9637011167,0.0
118.7010684166,31.9641531589,0.0
118.7010684166,31.9646052011,0.0
118.7010684166,31.9650572433,0.0
118.7010684166,31.9655092855,0.0
118.7010684166,31.9659613277,0.0
118.7010684166,31.9664133699,0.0
118.7010684166,31.9668654121,0.0
118.7010684166,31.9673174543,0.0
118.7010684166,31.9677694964,0.0
118.7010684166,31.9682215386,0.0
118.7010684166,31.9686735808,0.0
118.7010684166,31.969125623,0.0
118.7010684166,31.9695776652,0.0
118.7010684166,31.9700297074,0.0
118.7010684166,31.9704817496,0.0
118.7010684166,31.9709337918,0.0
118.7010684166,31.971385834,0.0
118.7010684166,31.9718378761,0.0
118.7010684166,31.9722899183,0.0
118.7010684166,31.9727419605,0.0
118.7010684166,31.9731940027,0.0
118.7010684166,31.9736460449,0.0
118.7010684166,31.9740980871,0.0
118.7010684166,31.9745501293,0.0
118.7010684166,31.9750021715,0.0
118.7010684166,31.9754542137,0.0
118.7010684166,31.9759062558,0.0
118.7010684166,31.976358298,0.0
118.7016008764,31.8769090165,15.515870884529825
118.7016008764,31.8773610587,17.468913075963016
118.7016008764,31.8778131009,20.139272344731097
118.7016008764,31.878265143,22.906930999388887
118.7016008764,31.8787171852,24.501753178459083
118.7016008764,31.8791692274,25.49617622965959
118.7016008764,31.8796212696,25.823058104163483
118.7016008764,31.8800733118,26.03745684160604
118.7016008764,31.880525354,26.083926229742993
118.7016008764,31.8809773962,25.93320458116235
118.7016008764,31.8814294384,25.387370669954024
118.7016008764,31.8818814806,23.466622603054134
118.7016008764,31.8823335227,19.850150810943106
